,Unnamed: 0,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Type,num_grocers,num_nightlife,num_noise,num_restaurants,num_subways,num_trees,grocers_normalized,nightlife_normalized,noise_normalized,restaurants_normalized,subways_normalized,trees_normalized,id
21,21,3026542,66 West 106th Street #3C,"['40.79875172,-73.96244809']",2400,1.0,1.0,0.0,40.79875172,-73.96244809,Apartment,19,1,238,25,1,541,0.30247195663188037,-1.00563951072494,0.4558749469249294,-0.9733776782560993,-0.5970494898332954,0.5283208442302993,3026542
22,22,3026539,160 East 64th Street #3F,"['40.76505837,-73.96571246']",2150,0.0,1.0,0.0,40.76505837,-73.96571246,Apartment,12,8,61,57,8,648,-0.5087555132620518,-0.10429807985751624,-0.8281776566032772,-0.41845008687546187,0.3748915401278832,1.1174853083537182,3026539
23,23,3026531,160 East 64th Street #4R,"['40.76505837,-73.96571246']",2132,0.0,1.0,0.0,40.76505837,-73.96571246,Apartment,12,8,61,57,8,648,-0.5087555132620518,-0.10429807985751624,-0.8281776566032772,-0.41845008687546187,0.3748915401278832,1.1174853083537182,3026531
24,24,3026529,20 Exchange Place #1322,"['40.70546076,-74.0095687']",2595,0.0,1.0,500.0,40.70546076,-74.0095687,Apartment,14,19,239,172,20,157,-0.2769762361494998,1.312095597219864,0.46312948140813964,1.5758209446487041,2.041076162918475,-1.586063774679914,3026529
25,25,3026528,245 West 51st Street #1001,"['40.76282276,-73.984835']",2695,0.0,1.0,0.0,40.76282276,-73.984835,Apartment,15,29,194,221,24,224,-0.16108659759322375,2.5997262127447547,0.13667542966368032,2.425553818950305,2.5964710371820057,-1.2171477083596423,3026528
26,26,2991714,50 East 28th Street #6M,"['40.74369812,-73.98509979']",4390,1.0,1.0,598.0,40.74369812,-73.98509979,Apartment,15,13,191,144,7,265,-0.16108659759322375,0.5395172279049293,0.1149118262140497,1.0902593021906464,0.23604282156200057,-0.9913931006114165,2991714
27,27,3020218,435 West 31st Street #39C,"['40.75230026,-73.99839783']",5363,2.0,2.0,1.0,40.75230026,-73.99839783,Apartment,5,4,323,62,0,169,-1.3199829831559842,-0.6193503260674726,1.072510377997797,-0.33174265072223724,-0.7358982083991781,-1.5199892553389698,3020218
28,28,3026524,200 Waverly Place #11,"['40.73485202,-74.00171396']",5195,3.0,1.0,700.0,40.73485202,-74.00171396,Apartment,22,28,168,128,10,674,0.6501408723007085,2.4709631511922656,-0.05194246689978506,0.8127955065003275,0.6525889772596486,1.2606467669257637,3026524
29,29,3026519,510 Amsterdam Avenue #3A,"['40.78690359,-73.97599301']",3600,2.0,1.0,0.0,40.78690359,-73.97599301,Apartment,16,9,171,68,5,636,-0.04519695903694772,0.024464981694972868,-0.030178863450154435,-0.22769372733836774,-0.041654615569764776,1.051410789012774,3026519
30,30,3026512,154 West 70th Street #3R,"['40.77667226,-73.98166174']",7300,3.0,2.0,0.0,40.77667226,-73.98166174,Apartment,14,6,145,91,4,634,-0.2769762361494998,-0.36182420296249446,-0.2187967600136198,0.17116047896646544,-0.18050333413564745,1.0403983691226166,3026512
31,31,3026508,7 West 21st Street #506,"['40.74089813,-73.9910965']",3951,0.0,1.0,0.0,40.74089813,-73.9910965,Apartment,20,8,103,131,16,124,0.4183615951881564,-0.10429807985751624,-0.5234872083084485,0.8648199681922623,1.4856812886549444,-1.7677687028675104,3026508
32,32,3026506,608 West 148th Street #24,"['40.82839261,-73.94973745']",3250,3.0,1.0,740.0,40.82839261,-73.94973745,Apartment,24,2,330,27,3,589,0.8819201494132606,-0.8768764491724509,1.1232921193802685,-0.9386947037948095,-0.3193520527015301,0.792618921594076,3026506
33,33,3026485,265 East 66th Street #5F,"['40.76580048,-73.96160126']",5700,1.0,1.0,1.0,40.76580048,-73.96160126,Apartment,15,1,88,36,4,618,-0.16108659759322375,-1.00563951072494,-0.6323052255566016,-0.7826213187190052,-0.18050333413564745,0.9522990100013577,3026485
34,34,3026483,1571 Lexington Avenue #31,"['40.78869239,-73.94852876']",2595,2.0,1.0,0.0,40.78869239,-73.94852876,Apartment,23,1,327,42,2,401,0.7660305108569845,-1.00563951072494,1.1015285159306378,-0.6785723953351357,-0.45820077126741277,-0.24254854808071594,3026483
35,35,3026482,111 First Avenue #3A,"['40.72694905,-73.98611315']",2700,2.0,1.0,0.0,40.72694905,-73.98611315,Apartment,33,22,302,273,0,453,1.9249268964197448,1.6983847818773312,0.9201651538503827,3.327311154943841,-0.7358982083991781,0.043774369063375444,3026482
36,36,3026474,59 West 73rd Street #2B,"['40.778124,-73.977647']",3750,2.0,2.0,0.0,40.778124,-73.977647,Apartment,7,7,145,63,2,514,-1.088203706043432,-0.23306114141000533,-0.2187967600136198,-0.31440116349159236,-0.45820077126741277,0.379653175713175,3026474
37,37,3026460,20 Avenue C #1B,"['40.72117055,-73.98069935']",4695,3.0,1.0,0.0,40.72117055,-73.98069935,Apartment,21,7,536,41,0,436,0.5342512337444324,-0.23306114141000533,2.617726222921571,-0.6959138825657806,-0.7358982083991781,-0.04983120000296212,3026460
38,38,3026456,344 East 61st Street #4,"['40.76088775,-73.96142622']",2195,1.0,1.0,0.0,40.76088775,-73.96142622,Apartment,15,6,104,60,0,514,-0.16108659759322375,-0.36182420296249446,-0.5162326738252383,-0.3664256251835271,-0.7358982083991781,0.379653175713175,3026456
39,39,3019716,333 East 5th Street #A2,"['40.72636181,-73.98739407']",3250,1.0,1.0,0.0,40.72636181,-73.98739407,Apartment,26,23,251,234,0,427,1.1136994265258127,1.8271478434298203,0.5501838952066621,2.650993152948689,-0.7358982083991781,-0.09938708950867024,3019716
40,40,2979032,200 E 87th Street #14L,"['40.77909851,-73.95330048']",2954,0.0,1.0,0.0,40.77909851,-73.95330048,Apartment,26,9,165,92,11,516,1.1136994265258127,0.024464981694972868,-0.07370607034941568,0.18850196619711038,0.7914376958255313,0.3906655956033323,2979032
41,41,3026452,1225 Park Avenue #16C,"['40.78588623,-73.95249231']",6000,2.0,2.0,0.0,40.78588623,-73.95249231,Apartment,13,2,72,40,4,697,-0.39286587470577583,-0.8768764491724509,-0.748377777287965,-0.7132553697964256,-0.18050333413564745,1.3872895956625735,3026452
42,42,3026449,344 West 49th Street #5F,"['40.76238681,-73.9888745']",4495,2.0,2.0,0.0,40.76238681,-73.9888745,Apartment,23,27,334,195,10,493,0.7660305108569845,2.3422000896397766,1.1523102573131092,1.9746751509535372,0.6525889772596486,0.26402276686652265,3026449
43,43,3026442,525 West End Avenue #8H,"['40.78855094,-73.97859252']",7050,2.0,2.0,0.0,40.78855094,-73.97859252,Apartment,5,0,126,16,5,655,-1.3199829831559842,-1.1344025722774291,-0.35663291519461376,-1.1294510633319037,-0.041654615569764776,1.1560287779692688,3026442
44,44,3026431,43 Jane Street #5FE,"['40.7383213,-74.00472356']",4295,2.0,1.0,650.0,40.7383213,-74.00472356,Apartment,20,14,87,93,4,627,0.4183615951881564,0.6682802894574184,-0.6395597600398119,0.20584345342775529,-0.18050333413564745,1.0018548995070657,3026431
45,45,3026425,163 West 71st Street #2FR,"['40.7777838,-73.9812101']",2560,0.0,1.0,0.0,40.7777838,-73.9812101,Apartment,19,9,208,103,4,598,0.30247195663188037,0.024464981694972868,0.23823891242862322,0.3792583257342045,-0.18050333413564745,0.8421748110997841,3026425
46,46,3026419,751 E 6th Street #5P,"['40.72270989,-73.97718736']",2654,0.0,1.0,0.0,40.72270989,-73.97718736,Apartment,18,8,1153,26,0,413,0.18658231807560435,-0.10429807985751624,7.093773999062269,-0.9560361910254545,-0.7358982083991781,-0.17647402873977178,3026419
47,47,3026414,453 Fdr #C1303,"['40.71289825,-73.97889709']",3300,1.0,1.0,0.0,40.71289825,-73.97889709,Apartment,3,0,50,1,0,153,-1.5517622602685361,-1.1344025722774291,-0.9079775359185894,-1.3895733717915775,-0.7358982083991781,-1.6080886144602287,3026414
48,48,3026413,43 West 68th Street #4AA,"['40.77450076,-73.97924692']",3150,2.0,1.0,0.0,40.77450076,-73.97924692,Apartment,6,2,65,48,7,589,-1.204093344599708,-0.8768764491724509,-0.7991595186704363,-0.5745234719512662,0.23604282156200057,0.792618921594076,3026413
49,49,3026411,53 Pitt Street #1BA,"['40.71765765,-73.98318587']",6500,4.0,2.0,1.0,40.71765765,-73.98318587,Apartment,17,6,182,36,0,268,0.07069267951932831,-0.36182420296249446,0.04962101586515784,-0.7826213187190052,-0.7358982083991781,-0.9748744707761804,3026411
50,50,3026410,530 East 13th Street #22,"['40.72892155,-73.97954615']",3100,2.0,1.0,0.0,40.72892155,-73.97954615,Apartment,18,21,306,58,0,478,0.18658231807560435,1.5696217203248422,0.9491832917832235,-0.40110859964481693,-0.7358982083991781,0.18142961769034247,3026410
51,51,3026402,354 East 66th Street #4F,"['40.7639803,-73.9591935']",5600,4.0,2.0,0.0,40.7639803,-73.9591935,Apartment,16,1,68,60,0,546,-0.04519695903694772,-1.00563951072494,-0.7773959152208058,-0.3664256251835271,-0.7358982083991781,0.5558518939556927,3026402
