,Unnamed: 0,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Type,num_grocers,num_nightlife,num_noise,num_restaurants,num_subways,num_trees,grocers_normalized,nightlife_normalized,noise_normalized,restaurants_normalized,subways_normalized,trees_normalized,id
462,462,3024558,317 West 105th Street #1C,"['40.80153978,-73.96984019']",3050,1.0,1.0,0.0,40.80153978,-73.96984019,Apartment,9,7,99,27,5,642,-0.7378223223885434,-0.25544414316276864,-0.5975233167773163,-0.8941951295101979,-0.02498461934718122,1.3914525831906552,3024558
463,463,3024556,141 Attorney Street #3S,"['40.71989198,-73.98389599']",7564,4.0,2.0,0.0,40.71989198,-73.98389599,Apartment,25,18,327,87,0,439,0.7788303432167731,1.0395083425052754,1.0064418591167148,0.022617479810923123,-0.7653006892653381,0.23433597876318255,3024556
464,464,3024555,67 East 2nd Street #37A,"['40.72416071,-73.98924888']",2999,1.0,1.0,0.0,40.72416071,-73.98924888,Apartment,19,18,227,138,4,434,0.21008559361477946,1.0395083425052754,0.3029483609175783,0.8019081977338759,-0.17304783333081258,0.20583556978713644,3024555
465,465,3024550,509 East 81st Street #GFW,"['40.77259827,-73.94869995']",1995,0.0,1.0,0.0,40.77259827,-73.94869995,Apartment,19,2,134,27,0,574,0.21008559361477946,-0.844058909375516,-0.3513005924076186,-0.8941951295101979,-0.7653006892653381,1.0038470211164279,3024550
466,466,3024549,647 West 207th Street #1C,"['40.86896842,-73.92167129']",1695,1.0,1.0,750.0,40.86896842,-73.92167129,Apartment,14,3,264,32,6,333,-0.263868364386882,-0.7263359561329664,0.5632409552512587,-0.8177940787334378,0.12307859463645016,-0.3698726915289953,3024549
467,467,3024548,67 East 2nd Street #44A,"['40.72416071,-73.98924888']",2750,1.0,1.0,0.0,40.72416071,-73.98924888,Apartment,19,18,227,138,4,434,0.21008559361477946,1.0395083425052754,0.3029483609175783,0.8019081977338759,-0.17304783333081258,0.20583556978713644,3024548
468,468,3024546,123 Washington Street #33E,"['40.70909882,-74.01370239']",4150,1.0,1.0,704.0,40.70909882,-74.01370239,Apartment,12,3,67,77,24,248,-0.45344994758754653,-0.7263359561329664,-0.8226412362010399,-0.13018462174259704,2.788216446341815,-0.8543796441217795,3024546
469,469,3013887,625 West 57th Street #2807,"['40.77109909,-73.99269867']",9700,3.0,3.0,0.0,40.77109909,-73.99269867,Apartment,2,4,24,12,0,153,-1.4013578635908694,-0.608613002890417,-1.1251434404266687,-1.1233982818404782,-0.7653006892653381,-1.3958874146666558,3013887
470,470,3012470,311 West 50th Street #2F,"['40.76290131,-73.98690033']",3656,1.0,1.0,0.0,40.76290131,-73.98690033,Apartment,23,30,307,196,12,341,0.5892487600161086,2.4521837814158687,0.8657431594768874,1.688160386744293,1.0114578785382384,-0.3242720371673215,3012470
471,471,3024545,200 West 24th Street #7A,"['40.74475501,-73.99553582']",6500,2.0,2.0,1.0,40.74475501,-73.99553582,Apartment,19,10,132,106,21,327,0.21008559361477946,0.09772471656487977,-0.36537046237160126,0.3129414727626114,2.3440268043909205,-0.4040731823002507,3024545
472,472,3024537,156 Eighth Avenue #3F,"['40.74192251,-74.00053409']",3500,1.0,1.0,0.0,40.74192251,-74.00053409,Apartment,16,11,151,83,14,418,-0.0742867811862174,0.21544766980742922,-0.23170669771376537,-0.03850336081048494,1.307584306505501,0.11463426106378882,3024537
473,473,3024521,89 East Fourth Street #10,"['40.72639497,-73.98962734']",5295,3.0,1.0,0.0,40.72639497,-73.98962734,Apartment,19,19,208,191,0,427,0.21008559361477946,1.157231295747825,0.16928459625974238,1.6117593359675328,-0.7653006892653381,0.16593499722067184,3024521
474,474,3022813,151 East 29th ,"['40.74301058,-73.98083016']",9500,4.0,2.0,0.0,40.74301058,-73.98083016,Apartment,28,16,626,147,6,483,1.06320271801777,0.8040624360201766,3.1098874187321326,0.9394300891320441,0.12307859463645016,0.4851395777523885,3022813
