,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage
207,3025595,307 East 18th Street #5AC,"['40.73480678,-73.98248153']",2600,1.0,1.0,0.0
208,3025594,888 Main Street #910,"['40.76229858,-73.94950104']",2807,0.0,1.0,500.0
209,3017191,21 West End Avenue #2411,"['40.772765,-73.990313']",3266,0.0,1.0,0.0
210,3021661,666 West End Avenue #12Q,"['40.79270172,-73.97450256']",2910,0.0,1.0,0.0
211,3025593,310 East 44th Street #1602,"['40.75049973,-73.97049713']",4190,1.0,1.0,0.0
212,3025591,340 East 13th Street #2,"['40.73081614,-73.98404489']",2450,1.0,1.0,0.0
213,3025590,550 Riverside Drive #4F,"['40.81606468,-73.96018759']",4154,3.0,2.0,1.0
214,3025588,246 East 51st Street #9,"['40.7555432,-73.96873847']",3150,1.0,1.0,0.0
215,3025587,106 Fulton Street #5D,"['40.70960004,-74.00705163']",2350,0.0,1.0,400.0
216,3025584,1080 Amsterdam Avenue #1406,"['40.80519867,-73.96269989']",3695,0.0,1.0,0.0
217,3025576,1214 5th Avenue #PHE,"['40.79140091,-73.95240021']",11000,2.0,2.0,0.0
218,3025575,52 Barrow Street #2C,"['40.73210144,-74.00479889']",4095,1.0,1.0,0.0
219,3025573,511 East 6th Street #3F,"['40.72534571,-73.98311178']",3300,2.0,1.0,0.0
220,3025565,244 East 7th Street #18B,"['40.72359848,-73.97820282']",4542,3.0,1.0,0.0
221,3025558,3440 Broadway #6C,"['40.8232885,-73.95223798']",3100,3.0,1.0,1.0
222,2964582,505 W. 54th Street #917,"['40.76750183,-73.99019623']",2849,0.0,1.0,418.0
223,2951585,70 Battery Place #607,"['40.70722719,-74.01757146']",3950,1.0,1.0,686.0
224,3025556,156 Mott Street #4,"['40.71942094,-73.99607143']",6495,2.0,2.0,1.0
225,3025555,936 West End Avenue #E5,"['40.80131432,-73.96834134']",1800,0.0,1.0,200.0
226,3025548,455 Main Street #3R,"['40.7594986,-73.95220184']",2495,0.0,1.0,529.0
227,3025543,259 West 55th Street #4A,"['40.76540538,-73.98351677']",2400,2.0,1.0,0.0
228,3025540,40 River Road #5G,"['40.76480103,-73.94709778']",2650,1.0,1.0,650.0
229,3025539,115 E 96th Street #5,"['40.78646776,-73.95162161']",3200,2.0,1.0,900.0
230,3025536,165 Charles Street #3,"['40.73410034,-74.00969696']",5500,0.0,1.0,682.0
231,3025534,80 Riverside Boulevard #5F,"['40.77508,-73.9924917']",2900,0.0,1.0,466.0
232,3025530,325 East 34th Street #E1,"['40.74456841,-73.97464412']",3100,2.0,2.0,950.0
233,3025529,445 Fifth Avenue #27DI,"['40.75159836,-73.98179626']",3250,1.0,1.0,620.0
234,3025527,103 Saint Marks Place #A,"['40.72736326,-73.98421529']",7500,4.0,1.0,0.0
235,3011234,250 West 93rd Street #PHE,"['40.79270172,-73.97380066']",3500,0.0,1.0,539.0
236,2967397,10 Sheridan Square #11F,"['40.73331769,-74.0022299']",4790,1.0,1.0,800.0
237,3025495,340 East 23rd Street #PH3D,"['40.73695542,-73.97944626']",11995,3.0,3.0,1.0
238,3025494,141 East 26th Street #6-5,"['40.74129868,-73.98269653']",2595,1.0,1.0,0.0
239,3025491,323 Bleecker Street #12,"['40.73329926,-74.0039978']",2795,2.0,1.0,0.0
240,3025485,315 West 21st Street #52,"['40.74459839,-74.00019836']",2925,0.0,1.0,0.0
241,3025481,234 West 13th Street #69,"['40.73849869,-74.0019989']",3000,0.0,1.0,0.0
242,3025477,234 West 13th Street #44,"['40.73849869,-74.0019989']",3500,1.0,1.0,0.0
243,3025476,23 West 84th Street #2,"['40.78472873,-73.97149444']",2650,1.0,1.0,0.0
244,3025475,260 Audobon Avenue #8M,"['40.84680375,-73.93282255']",2295,1.0,1.0,0.0
245,3025474,260 Audobon Avenue #18R,"['40.84680375,-73.93282255']",3195,3.0,2.0,0.0
246,3025471,101 Charles Street #3FVV,"['40.73474486,-74.00549549']",3200,0.0,1.0,0.0
247,3025468,551 West 149th Street #20,"['40.82876215,-73.94750768']",2500,2.0,1.0,0.0
248,3023180,23 West 56th Street #3R,"['40.76305999,-73.9757056']",4850,3.0,1.0,1.0
249,3023663,1 Dutch Street #12B1,"['40.70930099,-74.00779724']",5885,2.0,2.0,996.0
250,3025466,210 West 82nd Street #1R,"['40.78521593,-73.97777388']",2700,1.0,1.0,0.0
251,3025462,2-26 East 26th Street #3A,"['40.74224577,-73.98797929']",4950,3.0,1.0,0.0
252,3025461,215 E 96th Street #8M,"['40.78499985,-73.9484024']",3350,0.0,1.0,0.0
253,3025460,215 E 96th Street #16E,"['40.78499985,-73.9484024']",6475,2.0,2.0,0.0
254,3025454,65 Bank Street #1,"['40.73694345,-74.0044817']",4200,1.0,1.0,0.0
255,3025453,35 Bedford Street #30,"['40.7294942,-74.00400854']",3588,1.0,1.0,0.0
256,3025451,626 1st Avenue #W42G,"['40.74440002,-73.97200012']",7833,2.0,2.0,0.0
257,3025449,750 Columbus Avenue #8J,"['40.79339981,-73.96779633']",5738,2.0,2.0,1.0
258,3025448,730 Columbus Avenue #15A,"['40.79259872,-73.96820068']",3516,1.0,1.0,650.0
259,3025447,777 6th Avenue #20F,"['40.74509811,-73.99160004']",4356,1.0,1.0,620.0
260,3025446,500 West 23rd Street #4E,"['40.74760056,-74.00469971']",4921,1.0,1.0,642.0
261,3013136,100 West 31st Street #25D,"['40.7478981,-73.98960114']",3475,0.0,1.0,0.0
262,3020665,100 West 31st Street #14I,"['40.7478981,-73.98960114']",4400,1.0,1.0,0.0
263,3025405,72 Bedford Street #6C,"['40.73149872,-74.00469971']",3665,1.0,1.0,0.0
264,3025404,21 West 86th Street #6F,"['40.7859993,-73.97029877']",6750,2.0,2.0,1.0
265,3025403,70 Battery Place #306,"['40.70722719,-74.01757146']",3380,1.0,1.0,669.0
266,3025402,111 First Avenue #3,"['40.72694905,-73.98611315']",2650,1.0,1.0,0.0
267,3025399,145 West 10th Street #6D,"['40.73472577,-74.00105724']",7995,4.0,2.0,0.0
268,3025398,304 East 20th Street #2A,"['40.73559952,-73.98190308']",3250,1.0,1.0,0.0
269,3025395,317 West 29th Street #3B,"['40.7496654,-73.99662184']",1895,0.0,1.0,0.0
270,3025388,507 West 28th Street #505,"['40.75130081,-74.00240326']",4226,1.0,1.0,0.0
271,3025384,70 Pine Street #727,"['40.70650101,-74.00769806']",5040,1.0,2.0,0.0
272,3025383,70 Pine Street #1519,"['40.70650101,-74.00769806']",9750,3.0,3.0,0.0
273,3025381,507 West 28th Street #16C,"['40.75130081,-74.00240326']",4395,1.0,1.0,0.0
274,2955206,200 E 82nd Street #23F,"['40.77590179,-73.95570374']",4033,1.0,1.0,567.0
275,3018655,220 West 24th Street #4Q,"['40.74499893,-73.99629974']",3115,0.0,1.0,375.0
276,3025378,43 West 16th Street #2H,"['40.73854636,-73.99499857']",3645,1.0,1.0,0.0
277,3025377,32 Beekman Place #5,"['40.75379635,-73.96461379']",4275,3.0,1.0,0.0
278,3025374,134 East 36th Street #1,"['40.74758577,-73.97904959']",19500,5.0,4.0,4.0
279,3025372,407 West 51st Street #4D,"['40.7645332,-73.98890663']",2000,0.0,1.0,0.0
