,Method of Operation,Premise Name,Premise Address,Premise City
807,"CLUB TAVERN SERVING LIQUOR, WINE, CIDER AND BEER","ROCKEFELLER UNIVERSITY,THE",1230 52 YORK AVE,NEW YORK
809,"BAR/ TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",DOUBLE D 36TH STREET LLC ,385 5TH AVE ,NEW YORK
811,"RESTAURANT BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",168 ORCHARD ST PARTNERS INC ,168 170 ORCHARD ST,NEW YORK
819,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",J B MAX INC,86 E 4TH STREET,NEW YORK
829,"TAVERN WINE SERVING WINE, BEER AND CIDER",GRANDLO CAFE INC,168 BROOME ST,NEW YORK
832,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",COFESTA LLC,33 W 26TH ST,NEW YORK
835,"BAR/TAVERN AND KARAOKE BAR SERVING BEER, WINE, CIDER, AND LIQUOR.",G MISSION INC ,22 W 32ND ST 7TH FL,NEW YORK 
841,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,225 W 44TH STREET,NEW YORK
849,CLUB SERVING BEER WINE AND LIQUOR CIDER,LINKS CLUB INC,36 E 62ND ST,NEW YORK
853,TAVERN SERVING BEER AND WINE CIDER,HORSE TRADE MANAGEMENT GROUP,94 ST MARKS PL,NEW YORK
857,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",151 JB BAR CORP,2823 FREDERICK DOUGLASS BLVD,NEW YORK
872,"BAR/TAVERN SERVING WINE, BEER AND CIDER",ARC 74TH STREET LLC,417 419 E 74TH ST,NEW YORK
882,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER","MTS NY PROPCO LP, MTS NY LESSEE LP & HIGHGATE ",790 7TH AVE,NEW YORK
884,"BAR/TAVERN MUSEUM- CAFE SERVING LIQUOR, WINE BEER & CIDER ",MOSEX EXHIBIT 1 LLC,233 5TH AVENUE AKA 1 E 27TH ST, NEW YORK
889,"TAVERN SERVING BEER, WINE & CIDER",32 PEARL LLC,32 PEARL ST,NEW YORK
897,"BAR/TAVERN SERVING BEER, CIDER AND WINE     ",ALPHABET CITY BEER CO LLC,96 AVENUE C,NEW YORK
898,TAVERN SERVING BEER CIDER WINE AND LIQUOR,MONOLITH INC,194 AVE A,NEW YORK
903,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,242 W 45TH STREET,NEW YORK
909,TAVERN SERVING BEER CIDER WINE AND LIQUOR,ALPHA 129 REST LLC,127 129 ORCHARD STREET,NEW YORK
910,"BAR/TAVERN SERVING LIQUOR, WINE AND BEER",MACPER LLC,41 1ST AVE,NEW YORK
918,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, AND BEER CIDER",GROUBEN FOOD CORP,515 3RD AVE,NEW YORK
925,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR ,LA CASA DI ARTURO INC,106 W HOUSTON STREET,NEW YORK
928,TAVERN SERVING BEER WINE AND LIQUOR CIDER,BARRACUDA LOUNGE INC,275 WEST 22ND STREET,NEW YORK
934,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER","ABAW, LLC",92 W HOUSTON ST,NEW YORK
938,"TAVERN SERVING WINE, BEER AND CIDER",CC248 CORP,284 3RD AVE,NEW YORK
944,RESTAURANT/BAR SERVING BEER WINE CIDER & LIQUOR ,FLORIDITA RESTAURANT UPTOWN INC,4162 BROADWAY,NEW YORK
945,"BAR/TAVERN SERVING BEER, WINE AND LIQUOR  CIDER",JUSTIFIED LLC,102 1ST AVENUE,NEW YORK
947,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, AND BEER CIDER",PAULFRA RESTAURANT INC,2751 BROADWAY,NEW YORK
953,BAR/TAVERN SERVING LIQUOR WINE BEER & CIDER,AURA LLC AND SCOTT STERNICK AND RICHARD WINCKELMAN,350 W 49TH ST ,NEW YORK
954,TAVERN SERVING BEER WINE CIDER AND LIQUOR,BERKSHIRE PUFFY S LLC,81 HUDSON ST AKA 1 HARRISON ST,NEW YORK
962,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",FIFTYTWO MERCHANTS LLC,52 GROVE ST,NEW YORK
