,Method of Operation,Premise Name,Premise Address,Premise City
2201,BAR/TAVERN SERVING LIQUOR WINE CIDER & BEER,"RUMHOUSE 47 LLC, THE ",23 W 45TH ST ,NEW YORK
2206,TAVERN SERVING BEER CIDER WINE AND LIQUOR,MORELAND INC,356 W 40TH STREET,NEW YORK
2209,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",BETA CLINTON CORP,37 39 CLINTON STREET,NEW YORK
2221,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",RTA HOLDINGS LLC,235 W 56TH STREET,NEW YORK
2224,TAVERN SERVING BEER CIDER WINE AND LIQUOR,85 PEARL STREET VENTURE LTD,85 PEARL ST,NEW YORK
2226,"MIXED USE RESTAURANT TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",MADISON ENTERTAINMENT ASSOCIATES LLC,625 MADISON AVENUE,NEW YORK
2233,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",CRT RESTAURANT INC,108 110 W 40TH ST,NEW YORK
2235,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,JMP VENTURES LLC,2 GOLD STREET,NEW YORK
2241,CLUB SERVING LIQUOR CIDER WINE AND BEER,"NEW YORK YACHT CLUB,THE",37 41 W 44TH STREET,NEW YORK
2242,"RESTAURANT/CABARET/NIGHT CLUB/DANCE CLUBSERVING LIQUOR, WINE, BEER & CIDER",VARIETY 57TH STREET HOLDINGS LLC,311 W 57TH ST,NEW YORK
2250,"BAR/TAVERN SERVING BEER, WINE, AND CIDER",THREE SEAT ESPRESSO & BARBER LLC,137 AVENUE A,NEW YORK
2252,TAVERN SERVING BEER WINE CIDER AND LIQUOR,GREEN 90 INC,90 92 GREENWICH AVENUE,NEW YORK
2260,BAR/TAVERN SERVING BEER AND WINE ,SIVANDREW INC,200 CLINTON ST,NEW YORK
2264,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",AURORA SOHO INC,510 BROOME ST,NEW YORK
2268,TAVERN SERVING BEER WINE AND LIQUOR CIDER,BEA'S TAVERN INC,47 EAST HOUSTON STREET,NEW YORK
2274,"BAR/TAVERN SERVING BEER, WINE AND LIQUOR CIDER",DRINKING WITH GOOD DOUGH LLC ,85 WASHINGTON PL,NEW YORK
2278,TAVERN WINE SERVING BEER CIDER & WINE,58TH STREET CAFÉ LLC,768 5TH AVE,NEW YORK
2284,TAVERN SERVING LIQUOR WINE CIDER AND BEER,FLAM ABLE LLC,204 AVENUE B,NEW YORK
2288,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,"AMERICAN MUSEUM OF,THE",CENTRAL PARK WEST & 79TH ST,NEW YORK
2291,TAVERN SERVING BEER CIDER WINE AND LIQUOR,PATTY MC CARTHYS INC,169 AVENUE A,NEW YORK
2299,TAVERN RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,NO MOORE OYSTERS LLC,71 NORTH MOORE STREET,NEW YORK
2307,"BAR/CAFE SERVING BEER, WINE, CIDER, & LIQUOR",LARSTASIO LLC,1392 MADISON AVE,NEW YORK
2309,"TAVERN SERVING BEER, WINE AND CIDER     ",IVORY & WHITE MARKETS INC/MORTY'S WINE & BEER BAR ,15 WEST END AVE,NEW YORK
2310,"PRIVATE CLUB SERVING LIQUOR, WINE AND BEER CIDER","PLAYERS INC, THE ",16 GRAMERCY PARK ,NEW YORK 
2316,TAVERN SERVING BEER WINE CIDER AND LIQUOR,692 RESTAURANT CORP,692 3RD AVENUE,NEW YORK
2320,TAVERN SERVING BEER CIDER WINE AND LIQUOR,THE HOTEL COUNCIL OF THE BOARD OF MANAGERS OF TRUM,1 CENTRAL PARK WEST,NEW YORK 
2329,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,KD 714 INC,714 11TH AVE ,NEW YORK
2340,"BAR/TAVERN SERVING BEER, WINE, CIDER & LIQUOR",1325 CCPJ CORP,1325 5TH AVE,NEW YORK
2347,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,"D F K 11 TRINITY PL CORP,THE",11 TRINITY PL & 39 BROADWAY,NEW YORK
2357,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,FINGAL LLC,1586 YORK AVE ,NEW YORK
2360,TAVERN SERVING LIQUOR WINE AND BEER CIDER,LAZERINI JAZZ LLC,649 E 9TH ST,NEW YORK
2361,"CLUB TAVERN SERVING LIQUOR, WINE, CIDER, AND BEER",SALMAGUNDI CLUB INC,47 5TH AVENUE,NEW YORK
2362,TAVERN SERVING BEER CIDER AND WINE. UPGRADE TO FULL ON-PREMISE LICENSE PROHIBITED.,JUICERIE LLC,19 KENMARE ST,NEW YORK
2368,"TAVERN RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",VIG PARK INC,450 PARK AVENUE SOUTH,NEW YORK
2381,TAVERN WITHIN A MUSEUM SERVING WINE CIDER AND BEER,LOWER EAST SIDE TENEMENT MUSEUM,103 ORCHARD ST,NEW YORK
2385,"CAFE/BAR SERVING LIQUOR, WINE, BEER AND CIDER",GUYERS INC,286 COLUMBUS AVE,NEW YORK
2387,TAVERN SERVING BEER CIDER WINE AND LIQUOR,COMIC STRIP PROMOTIONS INC,1568 2ND AVENUE,NEW YORK
2390,TAVERN RESTAURANT SERVING CIDER LIQUOR WINE & BEER,VINO FIVE GROUP LLC,201 E 31ST ST,NEW YORK
2391,BILLIARDS BAR/TAVERN OP,SR CITY ENTERTAINMENT LLC,10 E 21ST STREET AKA 915 BROAD,NEW YORK
2394,"CLUB SERVING BEER, WINE, LIQUOR, & CIDER","BROOK INC,THE",111 E 54TH STREET,NEW YORK
2395,"CLUB SERVING LIQUOR, WINE, BEER & CIDER",STUDIO 466 INC,466 LEXINGTON AVE,NEW YORK
2406,CLUB RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,CLUB METROPOLITAN INC,146 W 57TH STREET,NEW YORK
2409,TAVERN SERVING BEER CIDER WINE AND LIQUOR,CEAD SLAINTE INC,519 2ND AVENUE,NEW YORK
2414,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",130 WEST 3RD CAFE INC,130 W 3RD STREET,NEW YORK
2415,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",PIPO POOL INC,582 WEST 183RD STREET,NEW YORK
2420,"CAFE/BAR SPACE SERVING LIQUOR, WINE, BEER AND CIDER",1204 BROADWAY RESTAURANT LLC,1204 BROADWAY,NEW YORK
2436,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,WINNIE'S BAR INC,58 E BROADWAY,NEW YORK
2437,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,OLD JOHN INC,148 W 67TH STREET,NEW YORK
2442,"TAVERN SERVING BEER, WINE & CIDER",BONAP GROUP LLC,358 W 47TH ST,NEW YORK
2443,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER","VENDANGE GROUP LLC, THE",510 W 52ND ST,NEW YORK
2444,"BAR/TAVERN SERVING BEER, WINE, & CIDER",THIS THEATER CORP,154 W 29TH ST,NEW YORK
2452,TAVERN SERVING WINE CIDER AND BEER ONLY,THEATER FOR THE NEW CITY FOUNDATION INC,155 1ST AVE,NEW YORK
2464,CLUB RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,REGENCY WHIST CLUB INC,15 E 67TH STREET,NEW YORK
2470,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,BRANDON REST LLC,932 2ND AVE,NEW YORK
2479,TAVERN SERVING BEER CIDER WINE AND LIQUOR,A J K CAFE INC,407 8TH AVE,NEW YORK
2486,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",DAGDA CORP,692 10TH AVENUE,NEW YORK
2488,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",BRIAN BOLKE ELEVEN CONSULTING LLC,20 HUDSON YARDS,NEW YORK
2502,TAVERN SERVING LIQUOR WINE CIDER AND BEER,599 TENTH AVENUE CORP,599 10TH AVE,NEW YORK
2519,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,LOW OVERRUN LLC,490 494 LAGUARDIA PL,NEW YORK
2523,"BAR/TAVERN SERVING BEER, WINE AND CIDER",CLO CONCESSIONS LLC,30 32 34 W 13TH ST ,NEW YORK
2525,"BAR/TAVERN SERVING BEER, CIDER, AND WINE ",KAZZA CORP,708 W 177TH ST ,NEW YORK
2528,"BAR/TAVERN SERVING BEER, WINE, CIDER & LIQUOR",GBSZ LLC,225 WEST ST,NEW YORK
2530,TAVERN SERVING BEER AND WINE CIDER,L A K INC,9A SAINT MARKS PL,NEW YORK
2548,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",CALEDONIAN NYC INC,107 MACDOUGAL ST,NEW YORK
2558,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,45 GROUP INC,12 W 45TH STREET,NEW YORK
2560,"TAVERN RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",RUMBA CORP,543 LA GUARDIA PL STORE ON GRO,NEW YORK
2567,"RESTAURANT/BAR WITH KARAOKESERVING LIQUOR, WINE, BEER AND CIDER     ",JAY ENTERTAINMENT CORP,9 E 38TH ST,NEW YORK
2571,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",MIRABI INC,175 179 W 4TH STREET,NEW YORK
2576,TAVERN SERVING LIQUOR WINE CIDER AND BEER,SERGEANTS MESS OF THE 69TH INFANTRY INC.,68 LEXINGTON AVENUE,NEW YORK
2578,TAVERN SERVING BEER WINE CIDER AND LIQUOR,155 SECOND AVE REST INC,155 2ND AVENUE,NEW YORK
2587,"BAR / TAVERN SERVING WINE, BEER & CIDER",JEMIKOS GFF INC,171 SULLIVAN ST,NEW YORK
2594,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",LUCILLES COFFEE AND COCKTAILS LLC,26 MACOMBS PL,NEW YORK
2596,"NIGHTCLUB SERVING BEER, WINE CIDER & LIQUOR",ELECTRIC ROOM 16 LLC STRATEGIC DREAM LOUNGE LLC ,355 W 16TH ST,NEW YORK
2601,"CLUB - TAVERN SERVING LIQUOR, WINE, AND BEER CIDER",RACQUET & TENNIS CLUB,370 PARK AVE,NEW YORK
2604,"BAR/TAVERN SERVING WINE, BEER AND CIDER",BELGO TMS LLC,000 BROADWAY PLAZA,NEW YORK
2607,BAR/TAVERN SERVING BEER CIDER AND WINE,GHAR VENTURES INC,201 W 11TH ST,NEW YORK
2617,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,AC WEIRTON LLC,3631 BROADWAY,NEW YORK
2618,BAR/TAVERN/RESTAURANT SERVING LIQUOR WINE & BEER CIDER,BROADWATER & PEARL ASSOCIATES LLC,54 PEARL ST,NEW YORK
2620,BAR/TAVRN SERVING WINE BEER AND CIDER,LAMANO WEST VILLAGE LLC,37 39 CHRISTOPHER ST,NEW YORK
2622,TAVERN RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,PICANTE INC,3424 BROADWAY ,NEW YORK
2626,BAR/TAVERN SERVING BEER CIDER WINE AND LIQUOR,ALLYN LLC,16 1ST AVE,NEW YORK
2631,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,READE STREET PUB NYC INC,135 READE STREET,NEW YORK
2636,"TAVERN SERVING  WINE, BEER AND CIDER",HIGHGATE HOTELS L P ,790 8TH AVE,NEW YORK
2642,CLUB SERVING BEER CIDER AND WINE ,AMERICAN YOUTH HOSTELS INC ,891 AMSTERDAM AVE ,NEW YORK 
2644,RESTAURANT/BAR SERVING LIQUOR BEER CIDER AND WINE,GREENWOOD LAKE GROUP LLC,3612 BROADWAY,NEW YORK
2651,"MUSIC VENUE/CABARET SERVING LIQUOR, WINE, BEER AND CIDER",FACILITY CONCESSION SERVICES INC,610 W 56TH ST,NEW YORK
2652,TAVERN SERVING BEER WINE CIDER & LIQUOR,LINCOLN CTR PERFORMING ARTS & REST SERVICES I LLC,1941 47 BROADWAY,NEW YORK
2654,TAVERN SERVING BEER CIDER AND WINE,RENO PRODUCTIONS INC,407 409 W 43RD ST,NEW YORK
2657,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,1650 BROADWAY ASSOCIATES INC,1650 BROADWAY,NEW YORK
2664,"RESTAURANT/BAR SERVING LIQUOR, WINE, BEER, AND CIDER",380 EAST VENTURES LLC,380 3RD AVE,NEW YORK
2665,"BAR/TAVERN SERVING WINE, BEER & CIDER",1372 1ST AVE WINE BAR CORP,1372 1ST AVE,NEW YORK
2674,"TAVERN/BAR/CAFE SERVING WINE, BEER AND CIDER",CARMINE STREET BEERS INC,52A CARMINE ST,NEW YORK
2677,TAVERN SERVING CIDER LIQUOR WINE & BEER,BGHO LLC,696 10TH AVENUE,NEW YORK
2678,CLUB RESTAURANT SERVING BEER WINE CIDER & LIQUOR,COLONY CLUB,564 PARK AVE,NEW YORK
2688,"ADULT ESTABLISHMENT/BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",725 EATERY CORP,725 7TH AVE,NEW YORK
2692,"TAVERN/RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",TWINS PUB INC,421 9TH AVENUE,NEW YORK
2711,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,149 W 45TH STREET,NEW YORK
2719,"BAR/KARAOKE SERVING LIQUOR, WINE, BEER AND CIDER     ",ANYTIME KARAOKE INC,23 W 32ND ST ,NEW YORK
2720,TAVERN SERVING BEER WINE AND LIQUOR CIDER,ARS NOVA THEATER INC,511 WEST 54TH ST,NEW YORK
2732,TAVERN SERVING BEER WINE CIDER AND LIQUOR,CHELSEA KARAOKE INC,29 W 17TH STREET,NEW YORK
2737,TAVERN SERVING BEER WINE AND LIQUOR CIDER,PEN ENTERTAINMENT LLC,14 20 LITTLE WEST 12TH STREET,NEW YORK
2742,"BAR/TAVERN SERVING BEER, WINE & CIDER",BOWERY GYOKAI LLC,44 BOWERY ,NEW YORK
2751,TAVERN RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,SOHO HOUSE NEW YORK LLC,29 35 9TH AVENUE,NEW YORK
2761,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",CAPTAIN MIKES SEAFOOD REST INC,126 CHAMBERS STREET,NEW YORK
2764,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",HOT POT UNDER DE TREE INC,2835 FREDERICK DOUGLAS BLVD,NEW YORK
2765,"TAVERN SERVING BEER, WINE, & CIDER",JAPAN SOCIETY INC,333 E 47TH STREET,NEW YORK
2767,"CLUB TAVERN SERVING LIQUOR, CIDER, WINE, AND BEER","NATIONAL ARTS CLUB, THE",15 GRAMERCY PARK S,NEW YORK
2776,TAVERN RESTAURANT SERVING BEER CIDER WINE & LIQUOR,JOLLY TINKER INC,687 LEXINGTON AVENUE,NEW YORK
2785,"BAR/TAVERN WITHIN A THEATER SERVING WINE, BEER AND CIDER",WILD PROJECT PRODUCTIONS INC,195 E 3RD ST ,NEW YORK
2788,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",TMG OF NEW ENGLAND LLC,110 W 51ST STREET,NEW YORK
2791,TAVERN SERVING BEER WINE CIDER AND LIQUOR,BUNGALOW ONE LLC,45 E 30 STREET,NEW YORK
2801,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR     ",EAST DROGHEDA INC,375 377 3RD AVE,NEW YORK
2805,"BAR/TAVERN SERVING BEER, CIDER WINE & LIQUOR",VINO POSTO INC,939 2ND AVENUE ,NEW YORK 
2807,"TAVERN SERVING BEER, WINE & CIDER",OAK TUSCAN TRUFFLE LOUNGE LLC,28 GREENWICH AVE ,NEW YORK
2809,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,SOHO VILLAGE HOTEL LLC & SAN MARINO AT SOHO INC,66 CHARLTON ST,NEW YORK
2817,"TAVERN SERVING BEER, CIDER, WINE AND LIQOUR",GRIFFS GLOBAL CORP OPERATOR/BOWERY POETRY CLUB INC,308 BOWERY,NEW YORK
2829,TAVERN SERVING LIQUOR WINE CIDER & BEER,JJD GROUP LLC,9 AVE A,NEW YORK
2831,"BAR/TAVERN SERVING BEER, CIDER WINE AND LIQUOR",MBG TAVERNS INC,69 W 23RD ST,NEW YORK
2843,"BAR TAVERN SERVING LIQUOR, WINE, CIDER & BEER CIDER",BIRMINGHAM NY INC,141 WEST 10TH STREET,NEW YORK
2844,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",RUE B CORP,188 AVENUE B,NEW YORK
2847,"TAVERN SERVING BEER, WINE, & CIDER",DEROSSI CHELSEA LLC,102 ST MARKS PL,NEW YORK
2849,"TAVERN/CAFE SERVING WINE, BEER AND CIDER",THREE OWLS LLC,800 802 WASHINGTON ST,NEW YORK
2852,"CLUB TAVERN SERVING LIQUOR, WINE, CIDER AND BEER","PRINCETON CLUB OF NEW YORK,THE",15 W 43RD STREET,NEW YORK
2853,"NIGHT CLUB SERVING BEER, WINE, LIQUOR, & CIDER",289 HOSPITALITY LLC,289 10TH AVE,NEW YORK
2856,TAVERN SERVING BEER CIDER WINE AND LIQUOR,SANDBAR CONCESSION INC,1535 BROADWAY,NEW YORK
2861,CLUB SERVING BEER CIDER WINE & LIQUOR,MEMORIAL SLOAN KETTERING,1233 YORK AVE,NEW YORK
2865,CLUB TAVERN SERVING BEER WINE AND CIDER LIQUOR,"NEW YORK ATHLETIC CLUB,THE",180 CENTRAL PARK SOUTH,NEW YORK
2876,TAVERN RESTAURANT SERVING BEER CIDER LIQUOR AND WINE ,"SCRATCHER CAFE INC,THE",209 EAST 5TH ST,NEW YORK
2881,TAVERN SERVING BEER WINE CIDER AND LIQUOR,35 H & Y DUET INC,53 55 W 35TH STREET ,NEW YORK
2883,"CLUB SERVING LIQUOR, WINE, AND BEER CIDER",COFFEE HOUSE INC,"20 WEST 44TH STREET, SIXTH FL",NEW YORK
2886,"CABARET SERVING BEER,CIDER, WINE AND LIQUOR",SLEEPNOMORE NA LLC ,530 W 27TH STREET,NEW YORK 
2887,TAVERN SERVING BEER WINE CIDER AND LIQUOR,J & D OPERATORS LLC,501 503 COLUMBUS AVENUE,NEW YORK
2897,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER","MUSEUM OF MODERN ART AND ART FOOD LLC, THE",11 W 53RD STREET,NEW YORK
2899,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,"TRUSTEES OF COLUMBIA UNIV,THE",2920 BROADWAY  LERNER HALL,NEW YORK
2911,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,104 AVENUE C PARTNERS LLC,104 AVENUE C,NEW YORK
2930,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,PUB LIFE INC,485 AMSTERDAM AVENUE,NEW YORK
2933,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, AND BEER CIDER",BLAGGARDS III RESTAURANT CORP,8 W 38TH STREET,NEW YORK
2937,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",I LIKE SIT DOWN COMEDY LLC,85 E 4TH ST,NEW YORK
2943,TAVERN SERVING BEER CIDER WINE AND LIQUOR,TOMKIN SQUARE KIDS INC,73 75 E 7TH STREET,NEW YORK
2945,TAVERN SERVING BEER CIDER WINE & LIQUOR,"MONKEY ROOM INC, THE",589 FORT WASHINGTON AVE STORE1,NEW YORK
2951,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",ALLORA 2 SPA INC,82 W 3RD STREET BASEMENT,NEW YORK
2955,"TAVERN/RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",GOURMET MANAGEMENT CORP,PENNSYLVANIA STATION,NEW YORK
2959,BAR TAVERN SERVING BEER CIDER & WINE ONLY,LOIS BAR LLC,98 AVENUE C,NEW YORK
2960,"TAVERN SERVING LIQUOR, WINE, CIDER & BEER",FOUNDATION LOUNGE CORP,137 ESSEX ST ,NEW YORK 
2967,TAVERN RESTAURANT SERVING BEER WINE CIDER & LIQUOR,401 W 50 TAVERN INC,401 W 50TH STREET,NEW YORK
2971,TAVERN SERVING BEER WINE AND LIQUOR CIDER,1020 AMSTERDAM CORP,1020 AMSTERDAM AVE,NEW YORK
2979,"BAR/TAVERN CAFE SERVING WINE, BEER AND CIDER",KS FAMILY CORP,320 8TH AVE ,NEW YORK
2990,TAVERN RESTAURANT SERVING BEER WINE CIDER & LIQUOR,"SILKEN THOMAS REST INC,THE",34 EAST 4TH STREET,NEW YORK
2991,TAVERN SERVING BEER CIDER WINE AND LIQUOR,106 AMSTERDAM REST CORP,HUDSON BEACH  W 105TH ST,NEW YORK 
2994,RESTAURANT TAVERN SERVING BEER WINE CIDER AND LIQUOR,CAFE RETAMAR INC,245 W 16TH STREET,NEW YORK
3008,TAVERN (RECREATIONAL FACILITY) ,"RANGE NYC LLC, THE",138 5TH AVE,NEW YORK
3012,TAVERN SERVING BEER CIDER WINE AND LIQUOR,LOUGH DUFF REST INC,1583 2ND AVE,NEW YORK
3013,CABARET SERVING BEER WINE CIDER AND LIQUOR,EDISON BALLROOM LLC,228 W 47TH ST,NEW YORK
3014,"BAR TAVERN SERVING LIQUOR, WINE, BEER & CIDER",BRE PARK AVENUE TOWER OWNER LLC & CONVENE PARK ,65 E 55TH ST,NEW YORK
3018,TAVERN SERVING BEER WINE AND LIQUOR CIDER,AAM HOLDING CORP,316 318 320 WEST 45TH STREET,NEW YORK
3032,CLUB TAVERN SERVING LIQUOR WINE AND BEER CIDER,HARVARD CLUB OF NEW YORK CITY,27 W 44TH STREET,NEW YORK
3039,"BAR/TAVERN SERVING BEER, WINE AND LIQUOR CIDER",WEST HOUSTON HALL INC ,222 WEST HOUSTON ST ,NEW YORK
3043,"TAVERN SERVING WINE, BEER & CIDER",FRYGUYS LLC,150 E 2ND ST,NEW YORK
3054,"TAVERN/CAFE (KIOSK) SERVING WINE, BEER AND CIDER",NANDITA INC,PETER MINUIT PLAZA,NEW YORK
3069,"HOTEL TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",BRITTANIA 54TH HOTEL CORP,1701 BROADWAY,NEW YORK
3072,"TAVERN SERVING WINE, BEER AND CIDER",NUCHAS TSQ LLC,PEDESTRIAN PLAZA CONCESSION 7,NEW YORK
3074,"BAR/TAVERN SERVING BEER, WINE, CIDER & LIQUOR ",BROOKS BROTHERS RESTAURANT LLC,346 MADISON AVE ,NEW YORK
3076,TAVERN SERVING BEER CIDER & WINE,NUYORICAN POETS CAFE INC,236 E 3RD ST  ,NEW YORK
3077,"TAVERN/RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER","MANHATTAN OCEAN CLUB ASSOCIATES LLC, THE",57 W 58TH STREET,NEW YORK
3083,TAVERN SERVING BEER WINE CIDER & LIQUOR,CARLOW EAST CORP,1254 LEXINGTON AVENUE,NEW YORK
3089,TAVERN SERVING LIQUOR WINE CIDER AND BEER,BLUE OCEAN GROUP INC,301 W 110TH STREET,NEW YORK
3092,TAVERN SERVING BEER WINE CIDER AND LIQUOR,"THIRD PALM TREE INC,THE",2145B AMSTERDAM AVE,NEW YORK
3097,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",BRASERO RESTAURANT INC,627 2ND AVENUE,NEW YORK
3098,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,C SMITH CORP,135 W 50TH ST ,NEW YORK
3113,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",389 BROOME LLC,389 BROOME ST,NEW YORK
3117,RESTAURANT/ ADULT GENTLEMEN'S CLUB SERVING LIQUOR WINE BEER AND CIDER,CLUB AZURE LLC,533 535 W 27TH ST,NEW YORK
3121,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",CALIENTE CAB REST CO INC,61 7TH AVENUE SOUTH,NEW YORK
3123,TAVERN SERVING BEER WINE AND LIQUOR CIDER,FOOD FIRST LLC,34 DOWNING STREET,NEW YORK
3127,TAVERN RESTAURANT SERVING CIDER BEER WINE AND LIQUOR,CELTIC TIGER INC,583 3RD AVENUE,NEW YORK
3132,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",DRINK THIS LLC,116 MACDOUGAL ST,NEW YORK
3133,"RESTAURANT/BAR SERVING BEER, WINE CIDER & LIQUOR",BYROM LLC,159 DUANE STREET,NEW YORK
3137,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",BILLY MARKS WEST INC   ,332 NINTH AVENUE,NEW YORK
3142,TAVERN SERVING LIQUOR CIDER WINE &  BEER,FAT PANDA INC,219 AVENUE A NORTH,NEW YORK
3146,TAVERN SERVING BEER WINE CIDER AND LIQUOR,N Y OXYGEN RESTAURANT & BAR LOUNGE CORP,24A AVENUE C,NEW YORK
3152,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,HUDSON HEIGHTS BAR & GRILL CORP,4241 BROADWAY,NEW YORK
3153,TAVERN SERVING BEER CIDER WINE AND LIQUOR,M B R P  RESTAURANT INC,1454 2ND AVENUE,NEW YORK
3156,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",DRT GROUP LLC,30 WATER STREET,NEW YORK
3157,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",HARLEM THE ROW CORP,2374 ADAM CLAYTON POWELL JR BL,NEW YORK
3158,TAVERN SERVING BEER WINE CIDER AND LIQUOR,AUGUST VAZAC RESTAURANT INC,108 AVENUE B,NEW YORK
3160,"TAVERN SERVING WINE, BEER AND CIDER",BAR CIPRIANO INC,19 21 CLINTON ST,NEW YORK
3165,"BAR/TAVERN SERVING LIQUOR, WINE AND BEER CIDER",192 TM THIRD TAVERN LLC,192 3RD AVE,NEW YORK
3167,"BAR/TAVERN EVENT SPACE SERVING BEER, WINE, CIDER, AND LIQUOR",F & B ASSOCIATES OF NEW YORK INC,1515 BROADWAY NORTH SIDE,NEW YORK
3175,"BAR/TAVERN SERVING LIQUOR,CIDER WINE & BEER",116 AVENUE C RESTAURANT LLC,116 AVENUE C,NEW YORK
3179,RESTAURANT/BAR SERVING LIQUOR CIDER WINE & BEER,32 CAFE INC,11 E 32ND ST LOWER LEVEL,NEW YORK
3181,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",AMA RESTAURANTS LLC,410 8TH AVENUE,NEW YORK
3184,RESTAURANT/BAR/LOUNGE SERVING BEER CIDER WINE & LIQUOR,IN GOOD CO PARK AVE INC,99 PARK AVENUE,NEW YORK
3186,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",MOCA BAR & GRILL INC,2210 8TH AVENUE,NEW YORK
3192,"NIGHT CLUB SERVING LIQUOR, WINE AND BEER CIDER",Z LIVE INC,605 WEST 48TH ST,NEW YORK
3194,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,"LE POISSON ROUGE GROUP NYC, LLC",158 BLEECKER ST,NEW YORK
3209,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,218 EAST 52ND STREET RESTAURANT LLC,218 E 52ND ST,NEW YORK
3212,"BAR/TAVERN SERVING WINE, BEER AND CIDER",CAUDALIE WASHINGTON STREET LLC,823 WASHINGTON AVE,NEW YORK
3215,"TAVERN WINE SERVING WINE, BEER AND CIDER",MANHATTANVILLE COFFEE LLC,142 EDGECOMBE AVE,NEW YORK
3228,"RESTAURANT/BAR SERVING BEER, WINE, CIDER, AND LIQUOR     ",HOST RG 40 LLC,215 W 40TH ST,NEW YORK
3229,TAVERN SERVING BEER CIDER WINE AND LIQUOR,SWEET HOSPITALITY GROUP LLC,150 W 65TH STREET,NEW YORK
